부메랑 스텝,소모 구슬,누적 구슬,사거리,데미지
1LV,"6,900","6,900",110,"50,000%"
2LV,"8,000","14,900",112,"52,100%"
3LV,"9,200","24,100",115,"54,300%"
4LV,"10,500","34,600",119,"56,400%"
5LV,"12,000","46,600",124,"58,600%"
6LV,"14,000","60,600",130,"60,700%"
7LV,"16,100","76,700",137,"62,800%"
8LV,"18,500","95,200",144,"65,000%"
9LV,"21,200","116,400",152,"67,100%"
10LV,"24,300","140,700",161,"69,300%"
11LV,"27,900","168,600",170,"71,400%"
12LV,"32,100","200,700",180,"73,600%"
13LV,"36,900","237,600",190,"75,700%"
14LV,"42,500","280,100",201,"77,800%"
15LV,"48,800","328,900",213,"80,000%"
16LV,"56,100","385,000",225,"82,100%"
17LV,"64,500","449,500",237,"84,300%"
18LV,"74,300","523,800",250,"86,400%"
19LV,"85,400","609,200",264,"88,500%"
20LV,"98,100","707,300",278,"90,700%"
21LV,"112,800","820,100",292,"92,800%"
22LV,"129,800","949,900",307,"95,000%"
23LV,"149,300","1,099,200",322,"97,100%"
24LV,"171,600","1,270,800",338,"99,300%"
25LV,"197,400","1,468,200",354,"101,400%"
26LV,"227,000","1,695,200",370,"103,500%"
27LV,"261,000","1,956,200",387,"105,700%"
28LV,"300,200","2,256,400",404,"107,800%"
29LV,"345,200","2,601,600",421,"110,000%"
30LV,"397,000","2,998,600",440,"112,100%"
