기가 슬래셔,소모 구슬,누적 구슬,마릿수,데미지
1LV,"1,500,000","1,500,000",10,"275,000%"
2LV,"1,590,000","3,090,000",12,"287,000%"
3LV,"1,690,000","4,780,000",13,"300,000%"
4LV,"1,790,000","6,570,000",15,"314,000%"
5LV,"1,890,000","8,460,000",17,"328,000%"
6LV,"2,010,000","10,470,000",19,"343,000%"
7LV,"2,130,000","12,600,000",20,"358,000%"
8LV,"2,260,000","14,860,000",22,"374,000%"
9LV,"2,390,000","17,250,000",24,"391,000%"
10LV,"2,530,000","19,780,000",26,"409,000%"
11LV,"2,690,000","22,470,000",27,"427,000%"
12LV,"2,850,000","25,320,000",29,"446,000%"
13LV,"3,020,000","28,340,000",31,"466,000%"
14LV,"3,200,000","31,540,000",32,"487,000%"
15LV,"3,390,000","34,930,000",34,"509,000%"
16LV,"3,590,000","38,520,000",36,"532,000%"
17LV,"3,810,000","42,330,000",38,"556,000%"
18LV,"4,040,000","46,370,000",39,"581,000%"
19LV,"4,280,000","50,650,000",41,"607,000%"
20LV,"4,540,000","55,190,000",43,"635,000%"
21LV,"4,810,000","60,000,000",45,"663,000%"
22LV,"5,100,000","65,100,000",46,"693,000%"
23LV,"5,410,000","70,510,000",48,"724,000%"
24LV,"5,730,000","76,240,000",50,"757,000%"
25LV,"6,070,000","82,310,000",51,"791,000%"
26LV,"6,440,000","88,750,000",53,"826,000%"
27LV,"6,820,000","95,570,000",55,"864,000%"
28LV,"7,230,000","102,800,000",57,"903,000%"
29LV,"7,670,000","110,470,000",58,"943,000%"
30LV,"8,130,000","118,600,000",60,"986,000%"
